"","RNA_S6614Nr10.bam","RNA_S6614Nr11.bam","RNA_S6614Nr12.bam","RNA_S6614Nr13.bam","RNA_S6614Nr14.bam","RNA_S6614Nr15.bam","RNA_S6614Nr16.bam","RNA_S6614Nr17.bam","RNA_S6614Nr18.bam","RNA_S6614Nr1.bam","RNA_S6614Nr2.bam","RNA_S6614Nr3.bam","RNA_S6614Nr4.bam","RNA_S6614Nr5.bam","RNA_S6614Nr6.bam","RNA_S6614Nr7.bam","RNA_S6614Nr8.bam","RNA_S6614Nr9.bam"
"YDR468C",5900.66791192086,3812.90258842551,3236.23828004037,2224.67947153244,7553.04938137488,3442.7108765869,3552.93660545105,2388.83595392427,3730.20250937928,2659.59775666351,2954.65690881237,2740.64090586576,4174.86579792684,8386.66517622268,2454.3810039525,2834.01539502117,2934.52666704245,2724.08849845553
"YDL084W",15599.4352814799,14985.7705317999,18234.9066092943,13410.4945530609,15422.8353037122,19035.4618774287,17825.1342760799,15117.4976540936,17665.6760349849,16932.7451145559,12156.6852368242,17531.6837428268,24646.570698554,16840.9352787025,14785.2855670793,17190.8181453569,14309.0303728357,17628.7268978473
"YDL203C",687.563261701335,742.452645455366,742.918449092669,996.820366222658,775.413108580334,661.967703321472,796.131541125147,782.515810421283,694.581475609751,747.730651981067,701.218490395007,758.926685300699,729.756161325317,584.691254115742,747.024987519567,810.14892801349,714.667891567697,646.925757719169
"YDL025W-A",0,14.2414190304738,8.01710556574822,6.52125473229776,15.7711140728203,8.37933801672749,10.2653064041924,5.89836038005993,6.92273895956562,4.90851631497418,10.0413148982579,9.11232726776139,7.07737656457743,7.30864067644678,9.07685282526813,10.0390201736492,4.38831161488937,7.24170624312502
"YDR285W",932.33578286701,695.930676622485,503.74146638118,525.42680985942,1205.17596706469,547.051067663495,694.619066683688,684.209804086951,688.812526476779,589.021957796902,861.879528767132,610.959847286097,688.864652285537,1357.58000564999,534.626631408293,710.762628294363,696.48774344887,644.511855638127
"YDL229W",8697.67526052189,11583.9702393874,15781.6723061754,18178.4633701895,5251.78098624918,15073.2320438047,23685.4836432734,14943.4960228818,15459.6298865366,24951.6246011188,8660.6340997474,20962.691919312,28122.3489669353,8474.36886434004,15468.7725848219,25474.0136906348,14356.0479972809,19155.5199641062
"YDR329C",2193.32680482726,2014.68607884436,2132.55008048903,1803.59273738978,1858.36294158066,1789.58719071537,1751.94562631551,2111.61301606145,1814.91139723279,1801.42548759552,1889.44075335552,2066.7626083975,1609.70998085444,1741.28364116344,2246.52107425386,1694.58660531199,2310.13261440962,1887.67142737459
"YDR034C",2857.51291563075,2436.23208214638,2556.12049121273,3379.87316696804,3976.94926536286,2753.21106263903,3759.38332313536,3026.84193503409,3422.14062567861,2628.51048666867,2277.70492942149,2406.08831903509,3802.12396552576,3725.57958481874,2229.27505388585,3454.42684175269,2195.40961076322,2418.72988520376
"YDR009W",75.6319587871468,107.285356696236,65.4730287869438,75.4602333308741,106.455019991537,58.6553661170925,62.7324280256205,85.5262255108689,78.4577082084104,84.2628634070568,138.904856092567,71.1629367577556,38.5323835182549,95.0123287938081,86.2301018400472,82.3199654239234,111.588495350044,79.6587686743752
"tS(AGA)D2",22.0020243744427,23.7356983841229,32.0684222629929,10.2476860078965,51.2561207366661,26.3350623382864,26.233560810714,22.6103814568964,25.3833761850739,27.8149257848537,20.0826297965157,7.81056622950976,15.7275034768387,36.5432033822339,19.0613909330631,21.0819423646633,6.26901659269909,4.82780416208335
"YDR488C",214.519737650817,311.412362799693,342.063170805257,493.752144016831,224.73837553769,301.65616860219,453.954660985399,354.884682866939,245.75723306458,373.047239938038,371.528651235541,329.779463023746,361.732579967291,215.60489995518,345.828092642716,417.623239223807,460.145817904114,358.464459034689
"YDR103W",2064.06491162741,1680.4874455959,1517.90532044833,1945.19712586253,2185.61355859169,1453.21662175817,1790.72567273135,2196.15618150898,1704.14757387974,1556.81775789931,2232.51901237933,1589.45022770524,1663.1834926757,1911.20953689083,1412.35829961172,1934.5191874622,1824.28382847544,1546.10428290719
"YDR336W",1735.40967253417,978.86020136123,816.408583445361,1066.69095264013,1895.16220775058,957.638630483142,1359.58280375527,1177.7059558853,1279.55291769305,1110.14277323666,1524.60631205215,1072.21717517326,1420.19356395854,2680.44396808686,1009.34603416982,1004.90591938228,1378.55674873453,1060.90996461782
"YDL101C",970.839325522285,835.496583121128,1119.72241068284,762.055195859938,946.266844369221,1468.77824950352,741.383240302787,670.446963200145,1073.02453873267,1070.87464271687,579.04915913287,986.734866994734,1052.16998260051,591.999894792189,796.039992776015,788.063083631462,589.287559713715,949.870468889899
"YDR162C",1552.51784492161,1357.68194757183,1317.47768130462,1907.00120528765,1930.64721441442,1350.27046898123,1875.12930316582,1799.98297598162,1382.24021225994,1567.45287658176,2119.55421977393,1308.26984344289,1346.2742976174,1679.16019541365,1389.66616754855,1679.52807505151,1899.51202758783,1346.95736122125
"YDR312W",654.560225139671,604.785594827453,673.436867522851,840.310252647512,609.81641081572,909.756698958985,885.097529961481,565.259536422409,824.959726014903,712.552951723752,403.326148413357,713.798969307976,1182.70826145827,866.073920158943,508.303758215015,736.864080745851,524.089787149644,753.137449285002
"YDL061C",11863.2165173948,18105.590727409,20502.4113001401,18864.1267248996,10553.5038337289,22778.6318743296,21826.3225945141,17732.4374225868,17550.2970523254,18919.876136068,14482.9231882539,13738.7859977077,20190.1825883917,14507.6517427469,15065.76031938,21647.1392004398,16768.9924838108,23289.3272778901
"YDL040C",2593.48862313744,3211.91470533952,2621.59351999967,3502.8453990628,2081.78705761229,2501.83092213721,3126.35609487683,3463.32060315852,2711.40609249654,3948.08328934423,3111.13406597689,3744.73258670385,3492.29214703204,2114.02431566223,3514.55741394382,3673.27748153824,3485.5732255407,3565.33337369855
"YDR145W",2609.99014141827,2803.6606931326,2818.0126063605,2736.13216410836,3021.48260445117,2811.86642875613,2617.65313306907,2571.68512570613,2703.32956371038,2435.44217827969,2334.60571384495,2404.35263765076,2976.43003299173,2870.46862567447,2179.35236334688,2619.18036330508,2599.13427933305,2493.56084971605
"YDR124W",244.772521165675,196.531582620538,398.182909765495,197.500857606732,324.622097998886,369.887921024114,278.303862513662,265.426217102697,417.671917227126,322.325904683305,339.731154057724,462.559088925412,286.240563278465,275.901185535866,421.165971092441,309.201821348395,270.821516804601,459.848346438439
"YDL231C",2138.32174389115,2278.6270448758,2402.45930120255,2819.04525999043,2297.3256166075,2039.77028292909,2746.53975792171,2842.02664312554,2455.26475099261,1947.86289099225,2342.97347626017,2098.87271400771,2406.30803195633,2360.69093849231,2152.12180487107,2524.81357367277,2186.63298753344,2314.93209571897
"YDR190C",3213.67068519204,3033.42225349091,3560.93105545317,2765.94361431315,3104.28095333347,4193.26015322806,3552.93660545105,2826.29768211205,3573.28709296246,3559.49241440878,2358.87222484907,3745.16650704993,5780.64390291208,4412.59180840474,2851.94715769925,3047.8465247199,2722.63390620922,3372.22120721522
"YDL064W",2893.26620523922,2369.77212667084,2290.21982328208,2722.15804682487,2787.544412371,2682.5852136409,2736.27445151752,2911.82390762292,2480.64812717768,2452.6219853821,2655.09101434768,2354.01787750503,2713.78072492852,2791.90073840267,2332.75117609391,2485.66139499554,2484.41127568665,2646.8436318622
"YDR463W",3560.20256908951,3302.11035919918,3327.09880978551,3052.87882253425,3284.33450566484,3421.16400740103,3051.07718124609,3457.42224277846,4002.49690845552,2720.13612454819,3501.07179452591,2754.09243659436,3093.59993389418,3541.03640773846,2736.67112681834,3402.22393684971,3037.33853916271,3490.50240918626
"YDR491C",5.50050609361068,5.69656761218951,6.68092130479019,10.2476860078965,5.25703802427345,1.19704828810393,4.5623584018633,3.93224025337328,2.30757965318854,11.4532047349398,3.34710496608595,6.94272553734201,3.14550069536775,7.30864067644678,8.16916754274131,1.00390201736492,8.77662322977873,4.82780416208335
"YDR449C",427.66434877823,575.35332883114,542.490809948963,960.48766128557,324.622097998886,870.254105451556,821.224512335395,704.854065417161,758.039916072436,863.898871435456,247.68576749036,518.534813570232,898.826823701334,520.740648196833,484.703940869318,684.661175842875,301.539698108826,725.377575353023
"YDL035C",3418.56453717904,3649.60098354274,3433.99355066216,3310.00258055056,3123.9948459245,2939.95059558325,2960.97060280929,3430.87962106819,3122.1552707641,2671.05096139845,3060.09071524408,2735.86778205884,2738.15835531762,2512.34523252858,3077.96079304842,3067.9245650672,3103.16321338605,3212.90366986647
"YDR074W",16271.8721514238,9684.16494072216,16652.86444432,5772.24204590242,10847.8979630883,14055.7409989163,4882.8640795942,7668.85155414125,12301.7071311481,19295.3776341635,11594.3716025217,23096.7121813525,8713.03692616866,6639.9000545519,19827.4773115157,7690.89335503265,11184.5525030345,12341.0743893256
"YDR525W",0,1.89885587072984,2.67236852191607,0.93160781889968,2.62851901213672,2.39409657620786,3.42176880139748,1.96612012668664,2.30757965318854,0,0.836776241521488,4.33920346083876,3.93187586920968,0,2.72305584758044,0,0,1.20695104052084
"YDR257C",1080.8494473945,1188.68377507688,1154.46320146774,1440.26568801891,1269.57468286204,1139.58997027494,1617.35605346054,1473.60703495164,1388.00916139291,1743.34137786833,1404.94730951458,1275.72581748659,1600.27347876834,1339.30840395887,1309.78986268619,1498.82571192583,1272.61036831792,1488.17063296219
"YDR402C",35.7532896084694,52.2185364450705,54.7835546992795,59.6229004095795,23.6566711092305,51.4730763884689,26.233560810714,46.2038229771361,40.3826439307995,15.5436349974182,28.4503922117306,63.7862908743297,10.2228772599452,34.7160432131222,59.9072286467696,28.1092564862178,26.3298696893362,43.4502374587501
"YDR450W",71490.077698658,55868.1374286132,86945.5098605395,32690.1183651898,119517.445222351,119027.299479326,110164.987150592,36858.8540149945,121071.781663843,53022.6113204036,32195.8026687808,60493.7032882453,119734.270344347,196847.273659079,36938.2525724286,73944.4108930479,41528.4735166759,68592.2345838397
"YDR376W",1104.22659829234,1177.2906398525,1026.18951241577,999.615189679357,1165.74818188264,901.377360942258,810.959205931203,1011.56880518028,988.79788139129,1379.29308450775,1207.46811651551,1230.16418114779,1002.62834664847,951.950448107193,1351.54338568242,933.628876149376,1118.39256013752,1247.98737589855
"YDR161W",578.928266352524,580.100468507965,665.419761957102,940.923897088677,471.819162678542,794.840063301008,956.954674790828,641.938221363189,635.738194453443,1127.32258033907,425.919106934437,834.428825519293,1259.77302849478,590.172734623077,613.595250988125,767.985043284164,567.972903298538,761.586106568648
"YDR090C",1214.23672016456,1622.57234153864,1586.05071775719,1982.46143861852,1333.97339865939,1280.8416682712,1535.233602227,1697.74472939392,1371.85610382059,1100.32574060671,1490.29848614977,978.49038041914,1154.39875519996,1233.33311415039,1535.80349803537,1616.28224795752,1530.89385193712,1483.34282880011
"YDR189W",2040.68776072956,1727.95884236415,2068.41323596304,1806.38756084648,1803.16404232579,2228.90391244951,1983.48531521007,1921.88242383619,2256.81290081839,2130.29608069879,1645.10209083125,2743.67834828835,2994.5166619901,2015.3576665302,2053.18410907565,1870.26945835085,1897.00442095075,2113.37127195199
"YDR524C",1058.84742302006,1317.80597428651,1388.2954471354,1584.66489994836,1006.72278164837,1295.20624772845,1206.74379729284,1410.69119089767,1156.09740624746,1196.04180874871,1125.4640448464,966.340610728791,1184.28101180596,895.30848286473,1008.43834888729,1253.87361968879,1006.80406478747,1232.29701237177
"YDL237W",3862.7304042381,6644.0966916837,6433.72721651295,5129.43265086164,3905.97925203517,4621.80344036927,4617.10670268567,6533.41718097971,4885.14612580014,3140.63235553098,5542.80582383834,3368.08972630304,3311.4258570484,4262.76467453758,4650.07170238486,4997.42424244257,5193.25334539193,5543.5261291122
"YDR188W",3242.5483421835,4121.46666741911,3333.7797310903,5046.51955497957,2564.12029633938,2898.05390549961,3709.19738071487,3794.61184450522,2649.10144186044,4885.6099055043,4278.43692289937,4597.38606675866,4344.7228354767,2952.6908332845,5178.34453681547,3748.57013284061,4973.83776464746,3900.86576296334
"YDL133C-A",475185.97117398,399615.167423029,426270.839115094,215465.982786394,729260.257505731,454128.99725114,391441.226163068,309055.405773937,458358.00788232,164801.799103153,271156.504288797,67957.133240888,161988.567560396,594663.894318754,163563.072540767,358746.393709389,145580.984020636,250118.878029214
"YDR531W",3352.55846405571,3444.52454950392,2895.51129349607,4756.78952330177,4611.73660679388,3836.53976337309,4597.71667947775,3595.05065164652,3572.13330313586,4040.52701327625,3309.45003521748,3123.79257145782,5000.55973046088,5055.75218793206,3257.68247898873,3899.15543544535,2985.30570144331,3549.64301017178
"tG(GCC)D1",0,0,0,0,0,0,0,0,0,0.818086052495697,0,0,0,0,0,0,0,0
"YDR226W",7693.83289843794,12440.3542370865,12248.8011202023,12950.2802905245,8373.14731316154,13977.9328601896,12325.2112226337,11178.3759802769,10618.3277741471,13523.7805338064,10559.2793917597,15420.2273387827,15653.5842104976,10380.0969207235,12841.0236919068,12574.876669513,13887.7524578063,15586.5657372861
"YDL054C",2388.59477115044,2890.05863525081,2504.00930503536,3676.12445337814,2351.2102563563,2291.15042343092,4041.10895445042,3560.64354942951,2639.87112324769,3097.27379474871,3437.47680017027,2828.2928157747,2748.38123257757,2945.38219260805,3699.72521157929,4006.5729513034,4261.05057805757,2691.50082036147
"YDL205C",1362.75038469205,1362.42908724866,1624.80006132497,2036.4946921147,1532.42658407571,1498.70445670612,2160.27670328227,1942.5266851664,1684.53314682763,1873.41706021515,2049.26501548612,1347.32267459043,1851.12715922392,1624.3453903403,1547.60340670822,2114.21764857052,1905.15414252126,1753.69986187678
"YDR537C",0,1.89885587072984,8.01710556574822,0,0,0,0,0,1.15378982659427,4.09043026247848,1.67355248304298,2.60352207650325,1.57275034768387,3.65432033822339,0,0,3.76140995561946,2.41390208104167
"YDR496C",779.696738769314,739.604361649271,757.616475963207,1127.24546086861,482.333238727089,1012.70285173592,1148.57372766909,818.889032764986,944.953867980707,1148.59281770396,311.280761845993,794.074233333493,1630.15573537433,743.654188828459,516.472925757756,867.371343003291,502.148229075198,745.895743041877
"YDR313C",1071.22356173068,865.878277052805,844.468452925479,674.484060883369,954.152401405631,939.682906161583,743.664419503719,839.533294095196,830.728675147875,796.815815130809,987.395964995356,1048.78547648473,892.535822310598,749.135669335795,1032.94585151551,864.359636951196,1013.07308138017,827.968413797294
"YDL108W",946.087048101037,1075.70185076845,971.405957716493,1401.13815962512,893.696464126486,1009.11170687161,1360.72339335573,1321.23272513342,985.336511911507,1272.12381163081,1173.16029061313,1220.18401318786,1177.20363524138,1025.03685487166,1108.28372996524,1190.6277925948,1405.51352008314,1182.81201971042
"tV(CAC)D",17.8766448042347,8.54485141828426,20.0427639143706,3.72643127559872,40.7420446881192,20.3498208977668,14.8276648060557,11.7967207601199,27.6909558382625,8.99894657745267,9.20453865673637,2.60352207650325,6.29100139073549,3.65432033822339,3.63074113010725,11.0429221910141,5.01521327415928,1.20695104052084
"YDR340W",103.1344892552,105.386500825506,101.550003832811,55.8964691339808,151.139843197862,82.596331879171,92.3877576377319,109.119667031109,152.300257110444,51.5394213072289,115.475121329965,23.8656190346132,39.3187586920968,257.629583844749,60.8149139292965,115.448731996966,69.58608417896,53.1058457829168
"YDL147W",16909.9308582826,10194.9571699485,7532.07067902045,7722.09721085945,17626.8484953889,8551.71297021446,7647.65327112337,8493.63894728629,9699.91107217803,7315.32548141652,9952.61661665658,8608.9796663041,9585.91336913321,18324.5893360212,7554.66460647066,6693.01474977192,8073.86646973717,6936.34762987325
"YDL081C",74482.3530135822,63124.6151386073,97966.3576449214,47669.4404852777,89955.8061523551,103175.986048254,106525.365735506,49423.3446845855,90303.6683580538,52523.5788283812,35655.8724274721,46401.2722084793,69896.1709517667,91147.8850361369,48853.4372761581,83181.3133548225,40427.6342029979,66624.9043877907
"YDR283C",1205.98596102414,1028.23045400021,964.725036411703,1397.41172834952,1184.14781496759,972.003209940389,1320.80275733943,1691.84636901386,1187.2497315655,1216.4939600611,1384.86467971806,1313.47688759589,1264.49127953783,1048.78993707011,1179.08318200233,1263.91263986243,1282.01389320696,1216.606648845
"YDR261C",2604.48963532466,4834.48704687816,6126.4048364926,4467.99109944287,2641.66160719741,5165.26336316845,4305.72574175849,4857.29977297935,4374.01723261888,2806.03516006024,3424.08838030593,2779.69373701331,3586.65716789307,2875.95010618181,3713.34049081719,4616.94537786127,3496.23055374829,4804.87209231345
"YDL211C",324.52985952303,372.175750663048,448.9579116819,311.157011512493,316.736540962475,474.031122089155,378.675747354654,331.291241346699,410.74917826756,465.490963870052,281.993593392741,398.772798051082,429.360844917697,303.308588072541,353.08957490293,442.72078965793,338.526896005751,378.982626723543
"YDL074C",2779.1307037968,2525.47830807068,2605.55930886817,2863.76243529762,3589.2427110727,2951.92107846429,2986.06357401953,3046.50313630095,3159.07654521511,2614.60302377625,2469.32668872991,2755.39419763261,3433.3140089939,3436.8882780991,2170.27551052161,2724.59007512839,2160.93001950338,2794.09165880574
"YDL091C",2953.77177226893,3612.57329406351,2936.93300558577,2492.05091555664,2713.94588003117,2361.77627242905,1973.22000880588,3188.06378542239,2413.72831723521,1987.94910756454,3486.00982217852,2134.88810273267,1867.6410378746,2720.64149180731,2546.96490277024,2630.22328549609,3266.15764479623,2773.57349111688
